job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
Kalite Kontrol Operatörü,2760,2020,3660,İşletme,Makine (MYO),Otomotiv (MYO),Elektrik (MYO),Makine,Otomotiv,Tekstil,Üretim / Endüstriyel Ürünler,Maden ve Metal Sanayi,Elektrik & Elektronik,Anadolu Üniversitesi,Kocaeli Üniversitesi,Uludağ Üniversitesi,Dumlupınar Üniversitesi,Ege Üniversitesi,AutoCAD,Elektrik/Elektronik,Kalite Kontrol,Kumpas,SAP,47,257,2087,70,30
Kalite Kontrol Sorumlusu,3320,2020,4670,Kimya,Gıda Teknolojisi (MYO),Kimya Mühendisliği,Makine (MYO),İşletme,Kimya,Otomotiv,Üretim / Endüstriyel Ürünler,Gıda,Tekstil,Anadolu Üniversitesi,Kocaeli Üniversitesi,Ege Üniversitesi,Uludağ Üniversitesi,Selçuk Üniversitesi,AutoCAD,ISO 14001,ISO 9001,ISO 9001:2000,İşçi Sağlığı ve İş Güvenliği,246,493,5882,58,42
Kalite Kontrol Şefi,6030,2170,9880,Kimya,Kimya Mühendisliği,Jeoloji Mühendisliği,İnşaat Mühendisliği,Makine Mühendisliği,Yapı,Tekstil,Maden ve Metal Sanayi,Gıda,Üretim / Endüstriyel Ürünler,Anadolu Üniversitesi,Kocaeli Üniversitesi,Ege Üniversitesi,Çukurova Üniversitesi,Selçuk Üniversitesi,5S,AutoCAD,FMEA,ISO 14001,ISO 9001,95,26,1718,66,34
Kalite Kontrol Teknisyeni,3450,2040,4870,İşletme,Otomotiv (MYO),Makine (MYO),Makine,Kimya (MYO),Otomotiv,Üretim / Endüstriyel Ürünler,Kimya,Yapı,Maden ve Metal Sanayi,Anadolu Üniversitesi,Kocaeli Üniversitesi,Ege Üniversitesi,Gazi Üniversitesi,Sakarya Üniversitesi,AutoCAD,CMM,Elektrik/Elektronik,ISO 9001,ISO 9001:2000,62,255,1823,84,16
Kalite Müdürü,7610,3480,11740,Makine Mühendisliği,Gıda Mühendisliği,Endüstri Mühendisliği,Metalurji ve Malzeme Mühendisliği,Kimya Mühendisliği,Otomotiv,Üretim / Endüstriyel Ürünler,Gıda,Turizm,Maden ve Metal Sanayi,Orta Doğu Teknik Üniversitesi (ODTÜ),İstanbul Teknik Üniversitesi (İTÜ),Uludağ Üniversitesi,Ege Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),5S,APQP,AutoCAD,CATIA,FMEA,247,200,1910,56,44
Kalite Mühendisi,4040,2100,5980,Makine Mühendisliği,Metalurji ve Malzeme Mühendisliği,Endüstri Mühendisliği,Kimya Mühendisliği,Gıda Mühendisliği,Otomotiv,Üretim / Endüstriyel Ürünler,Maden ve Metal Sanayi,Gıda,Havacılık,Kocaeli Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Sakarya Üniversitesi,Eskişehir Osmangazi Üniversitesi,Uludağ Üniversitesi,5S,APQP,AutoCAD,CATIA,FMEA,353,1,2701,56,44
Kalite Uzmanı,4550,2430,6670,Gıda Mühendisliği,Kimya,Kimya Mühendisliği,İşletme,Endüstri Mühendisliği,Hizmet,Sağlık,Otomotiv,Gıda,Telekomünikasyon,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Ege Üniversitesi,Sakarya Üniversitesi,5S,Analiz Yöntemleri,FMEA,Gıda Mevzuatı,HACCP,68,192,722,35,65
Kalite Yöneticisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalite Yönetim Sorumlusu,3550,2290,4800,Kimya,Gıda Mühendisliği,Kimya Mühendisliği,İşletme,Endüstri Mühendisliği,Sağlık,Gıda,Otomotiv,Üretim / Endüstriyel Ürünler,Hizmet,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Uludağ Üniversitesi,Gazi Üniversitesi,Ankara Üniversitesi,Voleybol,Müzik,Spor İlgi Alanım İçerisinde,Ensturman Çalıyorum Bağlama Başta Olmak Üzere,ISO 9001,0,9,400,32,68
Kamarot,3850,2500,5780,İktisat,İşletme,Kamu Yönetimi,Tarih,Büro Yönetimi ve Yönetici Asistanlığı (MYO),Turizm,Gıda,Hizmet,Denizcilik,Eğlence - Kültür - Sanat,Anadolu Üniversitesi,Selçuk Üniversitesi,Akdeniz Üniversitesi,Çukurova Üniversitesi,Süleyman Demirel Üniversitesi,İş Sağlığı Ve Güvenliği,0,0,0,0,4,0,737,78,22
