job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
A Sınıfı İş Güvenliği Uzmanı,4950,2030,7870,Maden Mühendisliği,Makine Mühendisliği,Kimya,Jeoloji Mühendisliği,Çevre Mühendisliği,Çevre,Sağlık,Yapı,Hizmet,Güvenlik,Hacettepe Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Çukurova Üniversitesi,AutoCAD,GSM,ISO 14001,ISO 9001,ISO 9001:2000,304,138,1292,73,27
AB Proje Asistanı,4110,2250,7380,Uluslararası İlişkiler,İşletme,Siyaset Bilimi ve Kamu Yönetimi,Biyoloji,Sosyoloji,Danışmanlık,Eğitim,Yapı,Topluluklar,Hizmet,Hacettepe Üniversitesi,Anadolu Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),İhsan Doğramacı Bilkent Üniversitesi,Ege Üniversitesi,Adobe Photoshop,Ansys Workbench,AutoCAD,C#,C++,27,0,784,34,66
AB Proje Geliştirme Uzmanı,5650,3500,9440,Uluslararası İlişkiler,Makine-Resim-Konstrüksiyon (MYO),İşletme,Çalışma Ekonomisi ve Endüstri İlişkileri,İktisat,Danışmanlık,Yapı,Eğitim,Maden ve Metal Sanayi,Taşımacılık,Karadeniz Teknik Üniversitesi (KTÜ),Anadolu Üniversitesi,Ankara Üniversitesi,Ege Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),APQP,AutoCAD,ISO 9001:2000,İhracat işlemleri,Maliyet Analizleri,9,0,153,48,51
Acente Temsilcisi,3610,2020,6160,İşletme,Turizm ve Seyahat İşletmeciliği (MYO),Seyahat İşletmeciliği,Turizm ve Otel İşletmeciliği (MYO),Seyahat İşletmeciliği ve Turizm Rehberliği,Turizm,Sigortacılık,Taşımacılık,Hizmet,Finans - Ekonomi,Anadolu Üniversitesi,Muğla Üniversitesi,Çanakkale 18 Mart Üniversitesi,Adnan Menderes Üniversitesi,Balıkesir Üniversitesi,Maliyet Muhasebesi,Satış Yönetimi,0,0,0,29,2,837,57,43
Acil Servis Hemşiresi,2700,2020,3430,İlk ve Acil (Paramedik),Hemşirelik,Hemşirelik ve Sağlık Hizmetleri,Hemşirelik (MYO),Acil Yardım Teknikerliği (MYO),Sağlık,Hizmet,Sigortacılık,Bilişim,Eğitim,Anadolu Üniversitesi,Üsküdar Üniversitesi,İstanbul Medipol Üniversitesi,Marmara Üniversitesi,Sakarya Üniversitesi,İşçi Sağlığı ve İş Güvenliği,Kan Alma,0,0,0,96,4,9500,34,66
Acil Tıp Teknisyeni,2570,2020,3170,İlk ve Acil (Paramedik),Acil Yardım Teknikerliği (MYO),Acil Yardım ve Afet Yönetimi,Sağlık Kurumları İşletmeciliği,İş Sağlığı ve Güvenliği (MYO),Sağlık,Hizmet,Sigortacılık,Çevre,Yapı,Anadolu Üniversitesi,Atatürk Üniversitesi,Üsküdar Üniversitesi,İstanbul Medipol Üniversitesi,Kocaeli Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,116,9,10989,52,48
Acil Tıp Uzmanı,12300,8000,18040,Tıp,Acil Yardım ve Afet Yönetimi,Sağlık Kurumları İşletmeciliği,Takı Tasarımı,Adalet (MYO),Sağlık,Hizmet,Çevre,Sigortacılık,Bilişim,Ondokuz Mayıs Üniversitesi,Uludağ Üniversitesi,İstanbul Üniversitesi (İÜ),Gülhane Askeri Tıp Akademisi,Ege Üniversitesi,SPSS,0,0,0,0,18,4,229,71,30
Adli Tıp Uzmanı,10500,4500,22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Aerodinamik Mühendisi,6400,3350,9460,Makine Mühendisliği,Uçak Mühendisliği,Uzay Mühendisliği,Havacılık ve Uzay Mühendisliği,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Üretim / Endüstriyel Ürünler,Havacılık,Hizmet,Enerji,Otomotiv,İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Manisa Celal Bayar Üniversitesi,TOBB Ekonomi ve Tek. Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),ABAQUS,Ansys Fluent,Ansys Workbench,AutoCAD,CATIA,23,3,62,69,31
Ağ Geliştirme Müdürü,7530,3000,12680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Ağ Kurulum Mühendisi,4580,2370,6940,Bilgisayar Mühendisliği,Elektronik ve Haberleşme Müh.,Elektrik/Elektronik Mühendisliği,Bilgisayar Sistem ve Ağları,İşletme,Bilişim,Telekomünikasyon,Hizmet,Gıda,Turizm,Süleyman Demirel Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Anadolu Üniversitesi,Çukurova Üniversitesi,Ankara Üniversitesi,C#,C++,Cisco Routers,Delphi,Görüntü İşlemleme,15,1,70,77,23
Ağ Mimarı,0,0,0,Mimarlık,Elektrik/Elektronik Mühendisliği,Elektronik Mühendisliği,Elektronik ve Haberleşme Müh.,İnşaat Teknolojisi,Yapı,Telekomünikasyon,Bilişim,Hizmet,Kimya,İstanbul Teknik Üniversitesi (İTÜ),Sakarya Üniversitesi,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Maltepe Üniversitesi,3D Max,Adobe Photoshop,AutoCAD,Bilanço analizi,Bilgisayar Destekli Tasarım Araçları,0,0,107,62,38
Ağ Sistemleri Destek Mühendisi,4220,2500,6400,Elektronik ve Haberleşme Müh.,Elektrik/Elektronik Mühendisliği,Bilgisayar Mühendisliği,Elektronik Haberleşme (MYO),Bilişim Sistemleri Mühendisliği,Bilişim,Telekomünikasyon,Hizmet,Elektrik & Elektronik,Finans - Ekonomi,Süleyman Demirel Üniversitesi,Kocaeli Üniversitesi,Namık Kemal Üniversitesi,İstanbul Üniversitesi (İÜ),Yıldız Teknik Üniversitesi (YTÜ),C#,C++,Cisco Routers,DHCP,IP,9,0,137,87,13
Ağ ve Siber Güvenlik Uzmanı,5770,2500,9100,Bilgisayar Mühendisliği,Elektrik/Elektronik Mühendisliği,Elektronik ve Haberleşme Müh.,Bilgisayar Teknolojisi ve Programlama (MYO),İşletme,Bilişim,Güvenlik,Telekomünikasyon,Hizmet,Finans - Ekonomi,Orta Doğu Teknik Üniversitesi (ODTÜ),Anadolu Üniversitesi,Süleyman Demirel Üniversitesi,Kocaeli Üniversitesi,Sakarya Üniversitesi,C,C#,C++,Cisco Routers,DHCP,59,54,467,79,21
Ağ Yöneticisi,5750,2500,9050,İşletme,İktisat,Kamu Yönetimi,Elektrik/Elektronik Mühendisliği,Bilgisayar Mühendisliği,Bilişim,Yapı,Eğitim,Hizmet,Gıda,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Erciyes Üniversitesi,Uludağ Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Cisco Routers,İnsan Kaynakları Yönetimi,LAN (Local Area Network),Linux,Sosyal Medya Yönetimi,13,5,421,72,28
Ağaç İşleri Endüstri Mühendisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ağaç İşleri Mühendisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ağaç İşleri Teknikeri,0,0,0,Mobilya ve Dekorasyon (MYO),Ağaç İşleri (MYO),Ormancılık (MYO),İşletme,İç Mekan Tasarımı,Mobilya & Aksesuar,Orman Ürünleri,Yapı,Ofis / Büro Malzemeleri,Tarım / Ziraat,Çanakkale 18 Mart Üniversitesi,Gaziosmanpaşa Üniversitesi,Bartın Üniversitesi,Afyon Kocatepe Üniversitesi,İstanbul Üniversitesi (İÜ),Adobe Fireworks,Ansys Workbench,AutoCAD,Autodesk,Autodesk Inventor,0,0,137,77,23
Ağır Vasıta Şoförü,3180,2100,4250,İşletme,Kamu Yönetimi,Otomotiv (MYO),Muhasebe,Makine (MYO),Taşımacılık,Yapı,Gıda,Hizmet,Maden ve Metal Sanayi,Anadolu Üniversitesi,Atatürk Üniversitesi,Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Abant İzzet Baysal Üniversitesi,Forklift Operatörü,Psikoteknik,Src 2,Src 4,SRC4,261,26,15150,86,14
Ahşap Doğrama Ustası,0,0,0,Mobilya ve Dekorasyon (MYO),Ormancılık (MYO),İşletme,Görsel Sanatlar ve Görsel İletişim Tasarımı,Halkla İlişkiler ve Tanıtım (MYO),Mobilya & Aksesuar,Orman Ürünleri,Yapı,Bilişim,Üretim / Endüstriyel Ürünler,Çukurova Üniversitesi,Akdeniz Üniversitesi,Gaziosmanpaşa Üniversitesi,Nevşehir Üniversitesi,İskenderun Teknik Üniversitesi,Elektrik,Elektronik,Makine Teknikeri,MOBİLYA MONTAJ,Müşteri Hizmetleri Operasyon Yönetimi,0,0,275,78,22
Ahşap Ustası,6420,3000,11050,Mobilya ve Dekorasyon (MYO),İşletme,İnşaat (MYO),İktisat,Mobilya ve İç Mekan Tasarımı,Mobilya & Aksesuar,Yapı,Orman Ürünleri,Üretim / Endüstriyel Ürünler,Ofis / Büro Malzemeleri,Anadolu Üniversitesi,Selçuk Üniversitesi,Kahramanmaraş Sütçü İmam Üniversitesi,Sakarya Üniversitesi,Pamukkale Üniversitesi,Adobe Photoshop,Cnc Torna,Üst Yapı İnşaatları,0,0,10,1,535,88,12
Aile Danışmanı,3340,2500,4360,Sosyoloji,Psikoloji,Sosyal Hizmetler,Sosyal Hizmet,Rehberlik ve Psikolojik Danışmanlık,Danışmanlık,Eğitim,Sağlık,Hizmet,Turizm,Anadolu Üniversitesi,Selçuk Üniversitesi,Uludağ Üniversitesi,Dumlupınar Üniversitesi,Cumhuriyet Üniversitesi,SPSS,0,0,0,0,7,1,559,28,72
Aile Hekimi,9470,6000,13570,Tıp,Sağlık Kurumları İşletmeciliği,Sağlık Eğitimi,Endüstri ve Sistem Mühendisliği,Psikoloji,Sağlık,Hizmet,Sigortacılık,Çevre,Güvenlik,İstanbul Üniversitesi (İÜ),Ege Üniversitesi,Trakya Üniversitesi,Uludağ Üniversitesi,Çukurova Üniversitesi,İSİG (İşçi Sağlığı ve İş Güvenliği) Mevzuatı,İşçi Sağlığı ve İş Güvenliği,0,0,0,19,74,1207,66,34
Akademik Personel,5310,3800,7720,İşletme,Bankacılık ve Sigortacılık (MYO),Bankacılık ve Sigortacılık,Kamu Yönetimi,İktisat,Eğitim,Ticaret,Gıda,Hizmet,Sağlık,Anadolu Üniversitesi,Selçuk Üniversitesi,Marmara Üniversitesi,Süleyman Demirel Üniversitesi,Ege Üniversitesi,C#,C++,Elektrik Motorları,Elektrik/Elektronik,Elektronik Devre Dizaynı,4,2,1340,55,45
Akademisyen,5720,3440,8010,İşletme,Makine Mühendisliği,Kimya,Biyoloji,Elektrik/Elektronik Mühendisliği,Eğitim,Sağlık,Hizmet,Yapı,Bilişim,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Anadolu Üniversitesi,Hacettepe Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Adobe Illustrator,AutoCAD,C++,Elektrik/Elektronik,İnsan Kaynakları Yönetimi,13,0,1071,54,46
Aksesuar Tasarımcısı,4020,2500,6650,Moda Tasarımı,Moda ve Tekstil Tasarımı,Kuyumculuk ve Takı Tasarımı (MYO),Moda Tasarımı (MYO),Grafik (MYO),Tekstil,Maden ve Metal Sanayi,Mobilya & Aksesuar,Üretim / Endüstriyel Ürünler,Otomotiv,Dokuz Eylül Üniversitesi,Anadolu Üniversitesi,İstanbul Aydın Üniversitesi,Marmara Üniversitesi,Giresun Üniversitesi,Adobe Illustrator,Adobe Photoshop,AutoCAD,CorelDraw,El Çizimi,4,1,274,26,74
Aktif Satış Danışmanı,2580,2020,3220,İşletme,İktisat,Dış Ticaret (MYO),Kamu Yönetimi,İşletme Yönetimi,Tekstil,Ticaret,Ev Eşyaları,Gıda,Telekomünikasyon,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Selçuk Üniversitesi,Kocaeli Üniversitesi,Atatürk Üniversitesi,AutoCAD,Satış Yönetimi,0,0,0,449,160,110627,45,55
Aktif Satış Elemanı,2700,2020,3470,İşletme,İktisat,Kamu Yönetimi,Dış Ticaret (MYO),Maliye,Tekstil,Gıda,Ticaret,Sağlık,Hizmet,Anadolu Üniversitesi,Selçuk Üniversitesi,Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Atatürk Üniversitesi,AutoCAD,Satış Yönetimi,0,0,0,200,185,36584,53,47
Aktif Satış Temsilcisi,3150,2020,4500,İşletme,İktisat,Kamu Yönetimi,Dış Ticaret (MYO),Maliye,Gıda,Tekstil,Sağlık,Telekomünikasyon,Hizmet,Anadolu Üniversitesi,Süleyman Demirel Üniversitesi,Selçuk Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,AutoCAD,Genel Muhasebe,Muhasebe,Satış Yönetimi,0,233,892,22220,64,36
Aktivasyon Elemanı,2390,2020,2790,İşletme,Bilgisayar Teknolojisi ve Programlama (MYO),Muhasebe (MYO),Kamu Yönetimi,İktisat,Telekomünikasyon,Bilişim,Hizmet,İletişim Danışmanlığı,Reklam ve Tanıtım,Anadolu Üniversitesi,Kocaeli Üniversitesi,Süleyman Demirel Üniversitesi,Dumlupınar Üniversitesi,Afyon Kocatepe Üniversitesi,BÜRO YÖNETİMİ VE SEKRETERLİK,Müşteri Hizmetleri Operasyon Yönetimi,Satış Yönetimi,Telekomünikasyon,0,14,0,1847,23,77
Aktivite Müdürü,3880,2500,6040,İşletme,Turizm ve Otel İşletmeciliği (MYO),İktisat,Konaklama ve Turizm İşletmeciliği,Uluslararası İlişkiler,Turizm,Eğlence - Kültür - Sanat,Gıda,Hizmet,Reklam ve Tanıtım,Anadolu Üniversitesi,Selçuk Üniversitesi,İstanbul Üniversitesi (İÜ),Mersin Üniversitesi,Abant İzzet Baysal Üniversitesi,Müşteri Hizmetleri Operasyon Yönetimi,0,0,0,0,14,0,124,76,24
Aktüer,4200,2320,9020,Aktüerya Bilimleri,Matematik,İstatistik,İşletme,Fen Bilgisi Öğretmenliği,Sigortacılık,Mobilya & Aksesuar,Danışmanlık,Üretim / Endüstriyel Ürünler,Sağlık,Hacettepe Üniversitesi,Boğaziçi Üniversitesi,Marmara Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),Anadolu Üniversitesi,C#,C++,Finansal Analiz,Finansal Risk Yönetimi,Genel Muhasebe,7,4,52,46,54
Akustik Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alacak Takip Elemanı,2610,2020,3370,İşletme,Adalet Meslek Yüksekokulu (MYO),Adalet (MYO),Bankacılık ve Sigortacılık (MYO),İktisat,Danışmanlık,Finans - Ekonomi,Hizmet,Enerji,Elektrik & Elektronik,Anadolu Üniversitesi,İstanbul Üniversitesi (İÜ),Kocaeli Üniversitesi,Sakarya Üniversitesi,Marmara Üniversitesi,Genel Muhasebe,Ön Muhasebe,Photoshop,0,0,12,2,930,36,64
Alakart Garson,2720,2020,3520,Turizm ve Otel İşletmeciliği (MYO),Turizm İşletmeciliği ve Otelcilik,İşletme,Turizm İşletmeciliği,Konaklama ve Turizm İşletmeciliği,Turizm,Gıda,Eğlence - Kültür - Sanat,Hizmet,Bilişim,Anadolu Üniversitesi,Muğla Üniversitesi,Akdeniz Üniversitesi,Selçuk Üniversitesi,Balıkesir Üniversitesi,Futbol,Bilgisayar,Microsoft Office,Spor,Satış ve Pazarlama,117,19,14616,74,28
Albay,11750,8000,16710,İşletme,Makine Mühendisliği,İnşaat Mühendisliği,Yönetim ve Organizasyon,Elektrik/Elektronik Mühendisliği,Güvenlik,Taşımacılık,Üretim / Endüstriyel Ürünler,Hizmet,Yapı,Kara Harp Okulu,Hava Harp Okulu,Deniz Harp Okulu,Süleyman Demirel Üniversitesi,Marmara Üniversitesi,Depo Ve Lojistik Yönetimi,İnsan Kaynakları,İnsan Kaynakları Yönetimi,Proje Yönetimi,0,4,0,65,95,5
Algoritma Geliştirme Mühendisi,6360,3500,10710,Elektrik/Elektronik Mühendisliği,Bilgisayar Mühendisliği,Elektronik Mühendisliği,Havacılık ve Uzay Mühendisliği,Endüstri Mühendisliği,Bilişim,Üretim / Endüstriyel Ürünler,Elektrik & Elektronik,Otomotiv,Hizmet,Orta Doğu Teknik Üniversitesi (ODTÜ),İhsan Doğramacı Bilkent Üniversitesi,Gazi Üniversitesi,Hacettepe Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Adobe Photoshop,C,C#,C++,CSS3,9,1,57,70,30
Almanca Öğretmeni,3000,2090,3910,Almanca Öğretmenliği,Alman Dili ve Edebiyatı,Mütercim-Tercümanlık (Almanca),Çeviribilim,Eğitim Bilimleri,Eğitim,Danışmanlık,Turizm,Hizmet,Tekstil,Hacettepe Üniversitesi,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,Çukurova Üniversitesi,Anadolu Üniversitesi,Microsoft Office,Resim,Müzik,Microsoft Office Word,Spor,105,26,4034,18,81
Alternatif Kanal Geliştirme Uzmanı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altyapı Mühendisi,5810,2650,8970,İnşaat Mühendisliği,Çevre Mühendisliği,Makine Mühendisliği,Elektrik/Elektronik Mühendisliği,Jeoloji Mühendisliği,Yapı,Hizmet,Elektrik & Elektronik,Enerji,Bilişim,Yıldız Teknik Üniversitesi (YTÜ),İstanbul Teknik Üniversitesi (İTÜ),Sakarya Üniversitesi,Dokuz Eylül Üniversitesi,Çukurova Üniversitesi,2D Autocad,ArcGIS,AutoCAD,Hakediş Düzenlenmesi,LAN (Local Area Network),30,3,201,75,25
Alüminyum Doğrama Ustası,3360,2800,3990,Makine (MYO),Kamu Yönetimi,İşletme,Gıda Teknolojisi,Elektrik (MYO),Maden ve Metal Sanayi,Yapı,Üretim / Endüstriyel Ürünler,Kimya,Reklam ve Tanıtım,Anadolu Üniversitesi,Gazi Üniversitesi,Kırıkkale Üniversitesi,Dumlupınar Üniversitesi,Fırat Üniversitesi,Elektrik/Elektronik,0,0,0,0,12,2,636,82,18
Alüminyum Küpeşte ustası,0,0,0,Bilgisayar Programcılığı,Makine,Maden ve Metal Sanayi,Yapı,Kimya,0,0,0,0,0,0,0,0,0,0,Üretim,0,0,0,0,0,0,74,76,24
Ambulans Hekimi,9750,8000,15000,Tıp,İlk ve Acil (Paramedik),Acil Yardım ve Afet Yönetimi,Matematik Öğretmenliği,Acil Yardım Teknikerliği (MYO),Sağlık,Sigortacılık,Hizmet,Çevre,Arşiv Yönetimi ve Saklama,İstanbul Üniversitesi (İÜ),Cumhuriyet Üniversitesi,Ege Üniversitesi,Marmara Üniversitesi,Namık Kemal Üniversitesi,İş Zekası,Radyo ve TV teknolojileri,0,0,0,4,2,88,76,24
Ambulans Şoförü,2480,2020,3140,İşletme,Elektrik (MYO),Otomotiv (MYO),Kamu Yönetimi,İlk ve Acil (Paramedik),Sağlık,Hizmet,Taşımacılık,Sigortacılık,Bilişim,Anadolu Üniversitesi,Atatürk Üniversitesi,Kocaeli Üniversitesi,Ege Üniversitesi,İnönü Üniversitesi,Src 2,Src 4,0,0,0,25,2,2578,85,15
Ameliyathane Hemşiresi,3200,2250,4140,Ameliyathane Teknikerliği (MYO),Hemşirelik ve Sağlık Hizmetleri,Hemşirelik (MYO),Hemşirelik,Ebelik,Sağlık,Hizmet,Sigortacılık,Eğitim,Tekstil,Anadolu Üniversitesi,İstanbul Bilim Üniversitesi,Nişantaşı Üniversitesi,İstanbul Yeni Yüzyıl Üniversitesi,İstanbul Medipol Üniversitesi,İşçi Sağlığı ve İş Güvenliği,Sterilizasyon,0,0,0,203,368,6130,30,70
Ameliyathane Personeli,2550,2020,3110,Ameliyathane Teknikerliği (MYO),Biyomedikal Cihaz Teknolojisi (MYO),Biyoloji,Büro Yönetimi ve Yönetici Asistanlığı (MYO),Tıbbi Dokümantasyon ve Sekreterlik (MYO),Sağlık,Hizmet,Sigortacılık,Gıda,Taşımacılık,Anadolu Üniversitesi,Atatürk Üniversitesi,Üsküdar Üniversitesi,Nişantaşı Üniversitesi Meslek Yüksekokulu,Kocaeli Üniversitesi,Sterilizasyon,0,0,0,0,29,6,1042,67,33
Analist,4870,2020,7860,Kimya,Endüstri Mühendisliği,Bilgisayar Mühendisliği,İşletme,İstatistik,Finans - Ekonomi,Sağlık,Bilişim,Danışmanlık,Gıda,İstanbul Üniversitesi (İÜ),Marmara Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Kocaeli Üniversitesi,Boğaziçi Üniversitesi,Analiz Yöntemleri,C#,GCMS / HPLC,İş ve süreç analizi,Java,280,238,3823,47,53
Analitik Crm Uzmanı,6000,5000,7410,Endüstri Mühendisliği,İstatistik,İşletme,Matematik,Bilgisayar Teknolojisi ve Programlama (MYO),Finans - Ekonomi,Telekomünikasyon,Bilişim,Sigortacılık,Perakende,İstanbul Teknik Üniversitesi (İTÜ),Yıldız Teknik Üniversitesi (YTÜ),Marmara Üniversitesi,Boğaziçi Üniversitesi,İstanbul Üniversitesi (İÜ),Big Data,CRM,Dijital Pazarlama,İstatistiksel analiz,MS Access,5,19,113,50,50
Analitik CRM Yöneticisi,0,0,0,Endüstri Mühendisliği,İstatistik,İktisat,İşletme,Elektrik/Elektronik Mühendisliği,Finans - Ekonomi,Perakende,Yapı,Danışmanlık,Telekomünikasyon,Yıldız Teknik Üniversitesi (YTÜ),Dokuz Eylül Üniversitesi,İstanbul Üniversitesi (İÜ),Erciyes Üniversitesi,Boğaziçi Üniversitesi,ASP.NET,C,C#,CRM,Dijital Pazarlama,0,0,54,39,61
Analitik Metod Geliştirme Uzmanı,0,0,0,Kimya,Kimya Mühendisliği,Endüstri Mühendisliği,Kimya (MYO),İşletme,Sağlık,Otomotiv,Kimya,Eğitim,Maden ve Metal Sanayi,İstanbul Üniversitesi (İÜ),İstanbul Teknik Üniversitesi (İTÜ),Balıkesir Üniversitesi,Eskişehir Osmangazi Üniversitesi,Ege Üniversitesi,5S,Analiz Yöntemleri,Analytical Chemistry,Chromatography,GCMS / HPLC,0,2,103,28,72
Analitik Metod Validasyon Uzmanı,6220,6000,6520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Analiz Teknikeri,3460,2500,4460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Analiz Uzmanı,3590,2020,5660,Kimya,İşletme,İstatistik,Endüstri Mühendisliği,Bilgisayar Teknolojisi ve Programlama (MYO),Bilişim,Sağlık,Hizmet,Finans - Ekonomi,Gıda,Anadolu Üniversitesi,Kocaeli Üniversitesi,İstanbul Üniversitesi (İÜ),Dokuz Eylül Üniversitesi,Gazi Üniversitesi,Adobe Photoshop,Analiz Yöntemleri,AutoCAD,C#,GCMS / HPLC,10,12,335,48,52
Analiz ve Raporlama Uzmanı,3810,2400,5850,İstatistik,İşletme,Endüstri Mühendisliği,Bilgisayar Teknolojisi ve Programlama (MYO),İktisat,Finans - Ekonomi,Hizmet,Telekomünikasyon,Sigortacılık,Enerji,Anadolu Üniversitesi,Marmara Üniversitesi,İstanbul Üniversitesi (İÜ),Sakarya Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),Bütçe planlama ve raporlama,Finansal Analiz,Finansal Raporlama,İstatistiksel analiz,İş ve süreç analizi,43,51,1152,48,52
Anaokulu Müdürü,4510,2750,6270,Okul Öncesi Öğretmenlik,Çocuk Gelişimi (MYO),Çocuk Gelişimi ve Eğitimi,Çocuk Gelişimi ve Eğitimi Öğretmenliği,Psikoloji,Eğitim,Hizmet,Danışmanlık,Bilişim,Tekstil,Anadolu Üniversitesi,Gazi Üniversitesi,Marmara Üniversitesi,Hacettepe Üniversitesi,Selçuk Üniversitesi,Resim,Müzik,Tiyatro,Tasarım,Bilgisayar,14,90,563,9,91
Anaokulu Öğretmeni,2590,2020,3280,Çocuk Gelişimi (MYO),Okul Öncesi Öğretmenlik,Çocuk Gelişimi ve Eğitimi,Sosyal Hizmetler,Çocuk Gelişimi ve Eğitimi Öğretmenliği,Eğitim,Danışmanlık,Hizmet,Sağlık,Tekstil,Anadolu Üniversitesi,Atatürk Üniversitesi,İstanbul Aydın Üniversitesi,İstanbul Arel Üniversitesi,İstanbul Üniversitesi (İÜ),Çocuk Gelişimi,0,0,0,0,361,279,28783,7,93
Anatomi Öğretmeni,0,0,0,Hemşirelik,Hemşirelik (MYO),Hemşirelik ve Sağlık Hizmetleri,Ebelik,Biyoloji,Eğitim,Sağlık,Hizmet,Bilişim,Ticaret,İstanbul Üniversitesi (İÜ),Ege Üniversitesi,Atatürk Üniversitesi,Gazi Üniversitesi,Gaziosmanpaşa Üniversitesi,İş Zekası,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,0,260,19,81
Android Geliştirici,5390,2260,8520,Bilgisayar Mühendisliği,Yazılım Mühendisliği,Bilgisayar ve Öğretim Teknolojileri Öğr.,Bilgisayar Programcılığı,Elektrik/Elektronik Mühendisliği,Bilişim,Elektrik & Elektronik,Telekomünikasyon,Reklam ve Tanıtım,Ticaret,Sakarya Üniversitesi,Fırat Üniversitesi,İstanbul Üniversitesi (İÜ),Yıldız Teknik Üniversitesi (YTÜ),Bilecik Şeyh Edebali Üniversitesi,Android,Android Programlama,Android Studio,Android Uygulama Geliştirme,C#,82,131,51,87,13
Anestezi Doktoru,14860,10000,19910,Tıp,Anestezi (MYO),Cerrahi Tıp Bilimleri,Hastane Yönetimi ve Organizasyon (MYO),Sağlık,0,0,0,0,0,İstanbul Üniversitesi (İÜ),Ankara Üniversitesi,Hacettepe Üniversitesi,Trakya Üniversitesi,Ondokuz Mayıs Üniversitesi,Adobe Flash,İşçi Sağlığı ve İş Güvenliği,0,0,0,20,20,260,52,48
Anestezi Hemşiresi,2650,2500,2850,Anestezi Teknikerliği (MYO),Hemşirelik ve Sağlık Hizmetleri,Anestezi (MYO),Hemşirelik (MYO),Hemşirelik,Sağlık,Hizmet,Sigortacılık,Çevre,Bilişim,Anadolu Üniversitesi,Atatürk Üniversitesi,İstanbul Aydın Üniversitesi,Trakya Üniversitesi,Marmara Üniversitesi,Entübasyon,İşçi Sağlığı ve İş Güvenliği,0,0,0,3,0,226,28,72
Anestezi Teknikeri,2700,2070,3320,Anestezi Teknikerliği (MYO),Anestezi (MYO),Kimya,Biyoloji,Kamu Yönetimi,Sağlık,Hizmet,Sigortacılık,Tekstil,Eğitim,İstanbul Bilim Üniversitesi,Marmara Üniversitesi,İstanbul Aydın Üniversitesi,İstanbul Arel Üniversitesi,Trakya Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,212,52,6904,34,66
Anestezi Teknisyeni,2680,2110,3250,Anestezi Teknikerliği (MYO),Anestezi (MYO),Sağlık Kurumları İşletmeciliği,Hemşirelik ve Sağlık Hizmetleri,Hemşirelik (MYO),Sağlık,Hizmet,Sigortacılık,Eğitim,Gıda,Anadolu Üniversitesi,İstanbul Medipol Üniversitesi,Marmara Üniversitesi,Üsküdar Üniversitesi,Dokuz Eylül Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,42,20,2864,36,64
